configuration	duplicate_family	resolved_versions	cargo_tree_status	principal_introducers_and_constraint_split	avoidability	disposition
no-default	digest	v0.10.7,v0.11.3	active duplicate	v0.10.7 <- blake2@0.10.6 requires ^0.10.3, curve25519-dalek@4.1.3 requires ^0.10 [optional], ecdsa@0.16.9 requires ^0.10.7 [optional], elliptic-curve@0.13.8 requires ^0.10 [optional], hmac@0.12.1 requires ^0.10.3, k12@0.3.0 requires ^0.10.7, rsa@0.9.10 requires ^0.10.5, sha1@0.10.7 requires ^0.10.7, sha2@0.10.9 requires ^0.10.7, sha3@0.10.9 requires ^0.10.7, signature@2.2.0 requires ^0.10.6 [optional], tor-bytes@0.44.0 requires ^0.10.0, tor-cert@0.44.0 requires ^0.10.0, tor-consdiff@0.44.0 requires ^0.10.0, tor-dirmgr@0.44.0 requires ^0.10.0, tor-hscrypto@0.44.0 requires ^0.10.0, tor-hsservice@0.44.0 requires ^0.10.0, tor-llcrypto@0.44.0 requires ^0.10.0, tor-netdir@0.44.0 requires ^0.10.0 [optional], tor-netdoc@0.44.0 requires ^0.10.0, tor-proto@0.44.0 requires ^0.10.0; v0.11.3 <- sha2@0.11.0 requires ^0.11, sha3@0.12.0 requires ^0.11	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	foldhash	v0.1.5,v0.2.0	active duplicate	v0.1.5 <- hashbrown@0.15.5 requires ^0.1.2 [optional]; v0.2.0 <- hashbrown@0.16.1 requires ^0.2.0 [optional]	No - current collection-ecosystem constraints	Keep: direct and transitive collection crates require incompatible hashbrown/indexmap generations; revisit upstream releases.
no-default	getrandom	v0.2.17,v0.3.4,v0.4.3	active duplicate	v0.2.17 <- amplify@4.9.0 requires ^0.2 [target=cfg(target_arch = "wasm32")], rand_core@0.6.4 requires ^0.2 [optional], redox_users@0.5.2 requires ^0.2, ring@0.17.14 requires ^0.2.10, tor-llcrypto@0.44.0 requires ^0.2.0 [target=wasm32-unknown-unknown]; v0.3.4 <- amplify@4.9.0 requires ^0.3 [target=cfg(target_arch = "wasm32")], rand_core@0.9.5 requires ^0.3.0 [optional], tor-llcrypto@0.44.0 requires ^0.3.0 [target=wasm32-unknown-unknown]; v0.4.3 <- jobserver@0.1.35 requires ^0.4 [target=cfg(windows)], rand@0.10.2 requires ^0.4.0 [optional], rustchan@1.3.0 requires ^0.4.3, tempfile@3.27.0 requires >=0.3.0, <0.5 [target=cfg(any(unix, windows, target_os = "wasi")); optional], tor-basic-utils@0.44.0 requires ^0.4 [target=cfg(target_arch = "wasm32")], tor-bytes@0.44.0 requires ^0.4.0 [target=wasm32-unknown-unknown], tor-llcrypto@0.44.0 requires ^0.4.0 [target=wasm32-unknown-unknown], uuid@1.24.0 requires ^0.4 [target=cfg(not(all(target_arch = "wasm32", any(target_os = "unknown", target_os = "none")))); optional]	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	hashbrown	v0.12.3,v0.14.5,v0.15.5,v0.16.1,v0.17.1	active duplicate	v0.12.3 <- indexmap@1.9.3 requires ^0.12; v0.14.5 <- dashmap@6.2.1 requires ^0.14.5; v0.15.5 <- imara-diff@0.2.0 requires ^0.15; v0.16.1 <- hashlink@0.11.1 requires ^0.16, rsqlite-vfs@0.1.1 requires ^0.16.1; v0.17.1 <- indexmap@2.14.0 requires ^0.17	No - current collection-ecosystem constraints	Keep: direct and transitive collection crates require incompatible hashbrown/indexmap generations; revisit upstream releases.
no-default	image	v0.24.9,v0.25.10	active duplicate	v0.24.9 <- captcha@1.0.0 requires ^0.24.2; v0.25.10 <- rustchan@1.3.0 requires ^0.25.10	No - current media/CAPTCHA constraints	Keep: the legacy CAPTCHA/image path and current media/network stack require incompatible generations; revisit when the parent crates upgrade.
no-default	indexmap	v1.9.3,v2.14.0	metadata-only optional split	v1.9.3 <- serde_with@3.21.0 requires ^1.8 [optional]; v2.14.0 <- derive-deftly-macros@1.11.5 requires >=1.8, <3, h2@0.4.15 requires ^2, priority-queue@2.7.0 requires ^2.2, serde_with@3.21.0 requires ^2.0 [optional], toml@1.1.4+spec-1.1.0 requires ^2.13.0 [optional], toml_edit@0.22.27 requires ^2.3.0, toml_edit@0.25.13+spec-1.1.0 requires ^2.13.0, zip@8.6.0 requires ^2	No built duplicate - metadata-only optional split	Keep: Cargo metadata resolves both optional generations, but cargo tree confirms they are not simultaneously built in this configuration.
no-default	itertools	v0.14.0,v0.15.0	active duplicate	v0.14.0 <- tor-basic-utils@0.44.0 requires ^0.14.0, tor-cell@0.44.0 requires ^0.14.0, tor-circmgr@0.44.0 requires ^0.14.0, tor-config@0.44.0 requires ^0.14.0, tor-dirclient@0.44.0 requires ^0.14.0, tor-dirmgr@0.44.0 requires ^0.14.0, tor-guardmgr@0.44.0 requires ^0.14.0, tor-hsclient@0.44.0 requires ^0.14.0, tor-hscrypto@0.44.0 requires ^0.14.0, tor-hsservice@0.44.0 requires ^0.14.0, tor-keymgr@0.44.0 requires ^0.14.0, tor-linkspec@0.44.0 requires ^0.14.0, tor-memquota-cost@0.44.0 requires ^0.14.0, tor-memquota@0.44.0 requires ^0.14.0, tor-netdir@0.44.0 requires ^0.14.0, tor-netdoc@0.44.0 requires ^0.14.0, tor-persist@0.44.0 requires ^0.14.0, tor-proto@0.44.0 requires ^0.14.0, tor-rtmock@0.44.0 requires ^0.14.0; v0.15.0 <- derive-deftly-macros@1.11.5 requires >=0.10.1, <0.16	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	keccak	v0.1.6,v0.2.0	active duplicate	v0.1.6 <- merlin@3.0.0 requires ^0.1.0, sha3@0.10.9 requires ^0.1.4; v0.2.0 <- sha3@0.12.0 requires ^0.2	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	png	v0.17.16,v0.18.1	active duplicate	v0.17.16 <- image@0.24.9 requires ^0.17.6 [optional]; v0.18.1 <- image@0.25.10 requires ^0.18.0 [optional]	No - current media/CAPTCHA constraints	Keep: the legacy CAPTCHA/image path and current media/network stack require incompatible generations; revisit when the parent crates upgrade.
no-default	r-efi	v5.3.0,v6.0.0	active duplicate	v5.3.0 <- getrandom@0.3.4 requires ^5.1 [target=cfg(all(target_os = "uefi", getrandom_backend = "efi_rng"))]; v6.0.0 <- getrandom@0.4.3 requires ^6 [target=cfg(all(target_os = "uefi", getrandom_backend = "efi_rng"))]	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	rand	v0.8.7,v0.9.5,v0.10.2	active duplicate	v0.8.7 <- num-bigint-dig@0.8.6 requires ^0.8.3 [optional]; v0.9.5 <- captcha@1.0.0 requires ^0.9; v0.10.2 <- arti-client@0.44.0 requires ^0.10.1, tor-basic-utils@0.44.0 requires ^0.10.1, tor-cell@0.44.0 requires ^0.10.1, tor-chanmgr@0.44.0 requires ^0.10.1, tor-circmgr@0.44.0 requires ^0.10.1, tor-dirmgr@0.44.0 requires ^0.10.1, tor-guardmgr@0.44.0 requires ^0.10.1, tor-hsclient@0.44.0 requires ^0.10.1, tor-hscrypto@0.44.0 requires ^0.10.1, tor-hsservice@0.44.0 requires ^0.10.1, tor-key-forge@0.44.0 requires ^0.10.1, tor-keymgr@0.44.0 requires ^0.10.1, tor-llcrypto@0.44.0 requires ^0.10.1, tor-netdir@0.44.0 requires ^0.10.1, tor-netdoc@0.44.0 requires ^0.10.1, tor-proto@0.44.0 requires ^0.10.1, tor-relay-selection@0.44.0 requires ^0.10.1, uuid@1.24.0 requires ^0.10 [target=cfg(not(all(target_arch = "wasm32", any(target_os = "unknown", target_os = "none")))); optional]	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	rand_chacha	v0.3.1,v0.9.0,v0.10.0	active duplicate	v0.3.1 <- rand@0.8.7 requires ^0.3.0 [optional]; v0.9.0 <- rand@0.9.5 requires ^0.9.0 [optional]; v0.10.0 <- tor-basic-utils@0.44.0 requires ^0.10.0, tor-llcrypto@0.44.0 requires ^0.10.0 [target=cfg(not(target_arch = "wasm32"))]	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	rand_core	v0.6.4,v0.9.5,v0.10.1	active duplicate	v0.6.4 <- crypto-bigint@0.5.5 requires ^0.6.4 [optional], ed25519-dalek@2.2.0 requires ^0.6.4 [optional], elliptic-curve@0.13.8 requires ^0.6.4, ff@0.13.1 requires ^0.6, group@0.13.0 requires ^0.6, merlin@3.0.0 requires ^0.6, p521@0.13.3 requires ^0.6 [optional], password-hash@0.5.0 requires ^0.6.4 [optional], rand@0.8.7 requires ^0.6.0, rand_chacha@0.3.1 requires ^0.6.0, rdrand@0.8.3 requires ^0.6, rsa@0.9.10 requires ^0.6.4, signature@2.2.0 requires ^0.6.4 [optional], ssh-key-fork-arti@0.6.7 requires ^0.6.4 [optional], tor-llcrypto@0.44.0 requires ^0.6, x25519-dalek@2.0.1 requires ^0.6; v0.9.5 <- rand@0.9.5 requires ^0.9.0, rand_chacha@0.9.0 requires ^0.9.0; v0.10.1 <- chacha20@0.10.1 requires ^0.10 [optional], getrandom@0.4.3 requires ^0.10.0 [optional], rand@0.10.2 requires ^0.10.0, rand_chacha@0.10.0 requires ^0.10.0, rand_jitter@0.6.1 requires ^0.10.0, reseeding_rng@0.10.7 requires ^0.10, rustchan@1.3.0 requires ^0.10.1, tor-hsservice@0.44.0 requires ^0.10.1, tor-llcrypto@0.44.0 requires ^0.10.1, tor-proto@0.44.0 requires ^0.10.1	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	schemars	v0.9.0,v1.2.2	metadata-only optional split	v0.9.0 <- serde_with@3.21.0 requires ^0.9.0 [optional]; v1.2.2 <- serde_with@3.21.0 requires ^1.0.2 [optional]	No built duplicate - metadata-only optional split	Keep: Cargo metadata resolves both optional generations, but cargo tree confirms they are not simultaneously built in this configuration.
no-default	serde_spanned	v0.6.9,v1.1.1	active duplicate	v0.6.9 <- toml@0.8.23 requires ^0.6.9, toml_edit@0.22.27 requires ^0.6.9 [optional]; v1.1.1 <- toml@1.1.4+spec-1.1.0 requires ^1.1.1	No - current configuration/proc-macro constraints	Keep: direct toml 1.x and upstream figment/proc-macro paths require incompatible parser generations.
no-default	sha2	v0.10.9,v0.11.0	active duplicate	v0.10.9 <- ed25519-dalek@2.2.0 requires ^0.10, p256@0.13.2 requires ^0.10 [optional], p384@0.13.1 requires ^0.10 [optional], p521@0.13.3 requires ^0.10 [optional], rsa@0.9.10 requires ^0.10.6 [optional], ssh-encoding-fork-arti@0.2.0 requires ^0.10 [optional], ssh-key-fork-arti@0.6.7 requires ^0.10.8, tor-llcrypto@0.44.0 requires ^0.10.0; v0.11.0 <- rustchan@1.3.0 requires ^0.11.0	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	sha3	v0.10.9,v0.12.0	active duplicate	v0.10.9 <- k12@0.3.0 requires ^0.10.8, tor-llcrypto@0.44.0 requires ^0.10.6; v0.12.0 <- derive-deftly-macros@1.11.5 requires >=0.10, <0.13 [optional], rustchan@1.3.0 requires ^0.12.0	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	strsim	v0.10.0,v0.11.1	active duplicate	v0.10.0 <- darling_core@0.14.4 requires ^0.10.0 [optional]; v0.11.1 <- clap_builder@4.6.2 requires ^0.11.1 [optional], darling_core@0.23.0 requires ^0.11.1 [optional]	No - current proc-macro/API constraints	Keep: independent derive/proc-macro consumers require incompatible generations; a lockfile-only update cannot unify them.
no-default	syn	v1.0.109,v2.0.119,v3.0.3	active duplicate	v1.0.109 <- amplify_derive@4.0.1 requires ^1.0.103, amplify_syn@2.0.1 requires ^1, darling_core@0.14.4 requires ^1.0.91, darling_macro@0.14.4 requires ^1.0.91, derive_builder_core_fork_arti@0.11.2 requires ^1.0.91, derive_builder_macro_fork_arti@0.11.2 requires ^1.0.91, educe@0.4.23 requires ^1; v2.0.119 <- asn1-rs-derive@0.6.0 requires ^2.0, asn1-rs-impl@0.2.0 requires ^2.0, blanket@0.3.0 requires ^2.0, curve25519-dalek-derive@0.1.1 requires ^2.0.27, darling_core@0.21.3 requires ^2.0.15, darling_core@0.23.0 requires ^2.0.15, darling_macro@0.21.3 requires ^2.0.15, darling_macro@0.23.0 requires ^2.0.15, derive_more-impl@2.1.1 requires ^2.0.45, enum-ordinalize@3.1.15 requires ^2, enum_dispatch@0.3.13 requires ^2.0, enumset_derive@0.15.0 requires ^2, futures-macro@0.3.33 requires ^2.0.52, getset@0.1.7 requires ^2, jni-macros@0.22.4 requires ^2.0, jni-sys-macros@0.4.1 requires ^2, num_enum_derive@0.7.6 requires ^2, phf_macros@0.13.1 requires ^2, pin-project-internal@1.1.13 requires ^2.0.1, serde_with_macros@3.21.0 requires ^2.0.0, strum_macros@0.28.0 requires ^2.0, synstructure@0.13.2 requires ^2, thiserror-impl@1.0.69 requires ^2.0.87, tracing-attributes@0.1.31 requires ^2.0, tracing-test-macro@0.2.6 requires ^2, visibility@0.1.1 requires ^2.0.0, wasm-bindgen-macro-support@0.2.126 requires ^2.0, windows-implement@0.60.2 requires ^2.0, windows-interface@0.59.3 requires ^2.0, yoke-derive@0.8.2 requires ^2.0.21, zerocopy-derive@0.8.55 requires ^2.0.46, zerofrom-derive@0.1.7 requires ^2.0.21, zeroize_derive@1.5.0 requires ^2, zerovec-derive@0.11.3 requires ^2.0.21; v3.0.3 <- async-trait@0.1.91 requires ^3, clap_derive@4.6.4 requires ^3.0.2, derive-deftly-macros@1.11.5 requires >=2.0.53, <4, displaydoc@0.2.7 requires ^3.0, ref-cast-impl@1.0.26 requires ^3, serde_derive@1.0.229 requires ^3, thiserror-impl@2.0.19 requires ^3, tokio-macros@2.7.2 requires ^3.0	No - current proc-macro/API constraints	Keep: independent derive/proc-macro consumers require incompatible generations; a lockfile-only update cannot unify them.
no-default	thiserror	v1.0.69,v2.0.19	active duplicate	v1.0.69 <- postage@0.5.0 requires ^1.0; v2.0.19 <- arti-client@0.44.0 requires ^2, asn1-rs@0.7.2 requires ^2.0.0, fs-mistrust@0.15.0 requires ^2, fslock-guard@0.8.0 requires ^2, jni@0.22.4 requires ^2, pwd-grp@1.0.2 requires >=1, <3, redox_users@0.5.2 requires ^2.0, rsqlite-vfs@0.1.1 requires ^2.0.12, rustchan@1.3.0 requires ^2.0.19, safelog@0.9.0 requires ^2, slotmap-careful@0.8.0 requires ^2, tor-async-utils@0.44.0 requires ^2, tor-basic-utils@0.44.0 requires ^2, tor-bytes@0.44.0 requires ^2, tor-cell@0.44.0 requires ^2, tor-cert@0.44.0 requires ^2, tor-chanmgr@0.44.0 requires ^2, tor-checkable@0.44.0 requires ^2, tor-circmgr@0.44.0 requires ^2, tor-config-path@0.44.0 requires ^2, tor-config@0.44.0 requires ^2, tor-consdiff@0.44.0 requires ^2, tor-dirclient@0.44.0 requires ^2, tor-dirmgr@0.44.0 requires ^2, tor-error@0.44.0 requires ^2, tor-general-addr@0.44.0 requires ^2, tor-guardmgr@0.44.0 requires ^2, tor-hsclient@0.44.0 requires ^2, tor-hscrypto@0.44.0 requires ^2, tor-hsservice@0.44.0 requires ^2, tor-key-forge@0.44.0 requires ^2, tor-keymgr@0.44.0 requires ^2, tor-linkspec@0.44.0 requires ^2, tor-llcrypto@0.44.0 requires ^2, tor-log-ratelim@0.44.0 requires ^2, tor-memquota@0.44.0 requires ^2, tor-netdir@0.44.0 requires ^2, tor-netdoc@0.44.0 requires ^2, tor-persist@0.44.0 requires ^2, tor-proto@0.44.0 requires ^2, tor-protover@0.44.0 requires ^2, tor-rtcompat@0.44.0 requires ^2, tor-rtmock@0.44.0 requires ^2, tor-socksproto@0.44.0 requires ^2, tor-units@0.44.0 requires ^2, tracing-appender@0.2.5 requires ^2	No - current proc-macro/API constraints	Keep: independent derive/proc-macro consumers require incompatible generations; a lockfile-only update cannot unify them.
no-default	thiserror-impl	v1.0.69,v2.0.19	active duplicate	v1.0.69 <- thiserror@1.0.69 requires =1.0.69; v2.0.19 <- thiserror@2.0.19 requires =2.0.19	No - current proc-macro/API constraints	Keep: independent derive/proc-macro consumers require incompatible generations; a lockfile-only update cannot unify them.
no-default	toml	v0.8.23,v1.1.4+spec-1.1.0	active duplicate	v0.8.23 <- figment@0.10.19 requires ^0.8 [optional]; v1.1.4+spec-1.1.0 <- rustchan@1.3.0 requires ^1.1.4, tor-config@0.44.0 requires ^1.0.3	No - current configuration/proc-macro constraints	Keep: direct toml 1.x and upstream figment/proc-macro paths require incompatible parser generations.
no-default	toml_datetime	v0.6.11,v1.1.1+spec-1.1.0	active duplicate	v0.6.11 <- toml@0.8.23 requires ^0.6.11, toml_edit@0.22.27 requires ^0.6.11; v1.1.1+spec-1.1.0 <- toml@1.1.4+spec-1.1.0 requires ^1.1.1, toml_edit@0.25.13+spec-1.1.0 requires ^1.1.1	No - current configuration/proc-macro constraints	Keep: direct toml 1.x and upstream figment/proc-macro paths require incompatible parser generations.
no-default	toml_edit	v0.22.27,v0.25.13+spec-1.1.0	active duplicate	v0.22.27 <- toml@0.8.23 requires ^0.22.27 [optional]; v0.25.13+spec-1.1.0 <- proc-macro-crate@3.5.0 requires ^0.25.0	No - current configuration/proc-macro constraints	Keep: direct toml 1.x and upstream figment/proc-macro paths require incompatible parser generations.
no-default	tower-http	v0.6.11,v0.7.0	active duplicate	v0.6.11 <- reqwest@0.13.4 requires ^0.6.8 [target=cfg(not(all(target_arch = "wasm32", any(target_os = "unknown", target_os = "none"))))]; v0.7.0 <- rustchan@1.3.0 requires ^0.7.0	No - current reqwest/direct constraints	Keep: reqwest requires tower-http 0.6 while RustChan uses 0.7; preserve the pure-Rust reqwest/TLS stack and revisit upstream.
no-default	windows-sys	v0.52.0,v0.59.0,v0.60.2,v0.61.2	active duplicate	v0.52.0 <- ring@0.17.14 requires ^0.52 [target=cfg(all(all(target_arch = "aarch64", target_endian = "little"), target_os = "windows"))]; v0.59.0 <- rand_jitter@0.6.1 requires ^0.59 [target=cfg(target_os = "windows")]; v0.60.2 <- notify@8.2.0 requires ^0.60.1 [target=cfg(windows)]; v0.61.2 <- anstyle-query@1.1.5 requires >=0.60.2, <0.62 [target=cfg(windows)], anstyle-wincon@3.0.11 requires >=0.60.2, <0.62 [target=cfg(windows)], dirs-sys@0.5.0 requires >=0.59.0 [target=cfg(windows)], errno@0.3.14 requires >=0.52, <0.62 [target=cfg(windows)], fslock-guard@0.8.0 requires ^0.61 [target=cfg(windows)], mio@1.2.2 requires ^0.61 [target=cfg(windows)], nu-ansi-term@0.50.3 requires >=0.59, <=0.61 [target=cfg(windows)], rustix@1.1.4 requires >=0.52, <0.62 [target=cfg(windows)], rustls-platform-verifier@0.7.0 requires >=0.52.0, <0.62.0 [target=cfg(windows)], schannel@0.1.29 requires ^0.61, socket2@0.6.5 requires >=0.60, <0.62 [target=cfg(windows)], tempfile@3.27.0 requires >=0.52, <0.62 [target=cfg(windows)], tokio@1.53.1 requires ^0.61 [target=cfg(windows); optional], winapi-util@0.1.11 requires >=0.48.0, <=0.61 [target=cfg(windows)]	No - current target-specific constraints	Keep: Windows-only upstream crates require incompatible windows-sys/windows-targets generations; revisit through upstream releases.
no-default	windows-targets	v0.52.6,v0.53.5	active duplicate	v0.52.6 <- windows-sys@0.52.0 requires ^0.52.0, windows-sys@0.59.0 requires ^0.52.6; v0.53.5 <- windows-sys@0.60.2 requires ^0.53.2	No - current target-specific constraints	Keep: Windows-only upstream crates require incompatible windows-sys/windows-targets generations; revisit through upstream releases.
no-default	windows_aarch64_gnullvm	v0.52.6,v0.53.1	active duplicate	v0.52.6 <- windows-targets@0.52.6 requires ^0.52.6 [target=aarch64-pc-windows-gnullvm]; v0.53.1 <- windows-targets@0.53.5 requires ^0.53.0 [target=aarch64-pc-windows-gnullvm]	No - current target-specific constraints	Keep: Windows-only upstream crates require incompatible windows-sys/windows-targets generations; revisit through upstream releases.
no-default	windows_aarch64_msvc	v0.52.6,v0.53.1	active duplicate	v0.52.6 <- windows-targets@0.52.6 requires ^0.52.6 [target=cfg(all(target_arch = "aarch64", target_env = "msvc", not(windows_raw_dylib)))]; v0.53.1 <- windows-targets@0.53.5 requires ^0.53.0 [target=cfg(all(target_arch = "aarch64", target_env = "msvc", not(windows_raw_dylib)))]	No - current target-specific constraints	Keep: Windows-only upstream crates require incompatible windows-sys/windows-targets generations; revisit through upstream releases.
no-default	windows_i686_gnu	v0.52.6,v0.53.1	active duplicate	v0.52.6 <- windows-targets@0.52.6 requires ^0.52.6 [target=cfg(all(target_arch = "x86", target_env = "gnu", not(target_abi = "llvm"), not(windows_raw_dylib)))]; v0.53.1 <- windows-targets@0.53.5 requires ^0.53.0 [target=cfg(all(target_arch = "x86", target_env = "gnu", not(target_abi = "llvm"), not(windows_raw_dylib)))]	No - current target-specific constraints	Keep: Windows-only upstream crates require incompatible windows-sys/windows-targets generations; revisit through upstream releases.
no-default	windows_i686_gnullvm	v0.52.6,v0.53.1	active duplicate	v0.52.6 <- windows-targets@0.52.6 requires ^0.52.6 [target=i686-pc-windows-gnullvm]; v0.53.1 <- windows-targets@0.53.5 requires ^0.53.0 [target=i686-pc-windows-gnullvm]	No - current target-specific constraints	Keep: Windows-only upstream crates require incompatible windows-sys/windows-targets generations; revisit through upstream releases.
no-default	windows_i686_msvc	v0.52.6,v0.53.1	active duplicate	v0.52.6 <- windows-targets@0.52.6 requires ^0.52.6 [target=cfg(all(target_arch = "x86", target_env = "msvc", not(windows_raw_dylib)))]; v0.53.1 <- windows-targets@0.53.5 requires ^0.53.0 [target=cfg(all(target_arch = "x86", target_env = "msvc", not(windows_raw_dylib)))]	No - current target-specific constraints	Keep: Windows-only upstream crates require incompatible windows-sys/windows-targets generations; revisit through upstream releases.
